time,beta_angle,average_temperature
100,-90,273.19353906621933
200,-90,273.21186768449394
300,-90,273.2278060279411
400,-90,273.24349399051164
500,-90,273.25913227725147
600,-90,273.27473975273784
700,-90,273.2903182297901
800,-90,273.3058679221542
900,-90,273.3213888935656
1000,-90,273.33688119363546
1100,-90,273.3523448705941
1200,-90,273.3677799724855
1300,-90,273.38318654727993
1400,-90,273.3985646428841
1500,-90,273.4139143071419
1600,-90,273.42923558783536
1700,-90,273.4445285326838
1800,-90,273.45979318934434
1900,-90,273.47502960541175
2000,-90,273.4902378284184
2100,-90,273.50541790583435
2200,-90,273.52056988506746
2300,-90,273.5356938134633
2400,-90,273.5507897383051
2500,-90,273.56585770681403
2600,-90,273.58089776614867
2700,-90,273.59590996340575
2800,-90,273.61089434561956
2900,-90,273.62585095976243
3000,-90,273.6407798527442
3100,-90,273.6556810714128
3200,-90,273.67055466255397
3300,-90,273.6854006728913
3400,-90,273.7002191490864
3500,-90,273.7150101377385
3600,-90,273.72977368538506
3700,-90,273.74450983850136
3800,-90,273.75921864350073
3900,-90,273.77390014673443
4000,-90,273.78855439449177
4100,-90,273.8031814329999
4200,-90,273.81778130842434
4300,-90,273.8323540668685
4400,-90,273.8468997543738
4500,-90,273.8614184169199
4600,-90,273.87591010042456
4700,-90,273.89037485074374
4800,-90,273.9048127136714
4900,-90,273.9192237349399
5000,-90,273.9336079602198
5100,-90,273.94796543511956
5200,-90,273.9622962051864
5300,-90,273.9766003159054
5400,-90,273.9908778127004
5500,-90,274.00512874093306
5600,-90,274.0193531459037
5700,-90,274.033551072851
5800,-90,274.047722566952
5900,-90,274.06186767332207
6000,-90,274.07598643701516
6100,-90,274.09007890302365
6200,-90,274.1041451162785
6300,-90,274.11818512164893
6400,-90,274.13219896394304
6500,-90,274.1461866879073
6600,-90,274.16014833822686
6700,-90,274.1740839595255
6800,-90,274.1879935963655
6900,-90,274.2018772932482
7000,-90,274.2157350946131
7100,-90,274.22956704483903
7200,-90,274.24337318824297
7300,-90,274.2571535690812
7400,-90,274.2709082315486
7500,-90,274.28463721977886
7600,-90,274.2983405778446
7700,-90,274.31201834975747
7800,-90,274.3256705794678
7900,-90,274.339297310865
8000,-90,274.3528985877776
8100,-90,274.36647445397284
8200,-90,274.3800249531574
8300,-90,274.3935501289765
8400,-90,274.40705002501517
8500,-90,274.42052468479704
8600,-90,274.433974151785
8700,-90,274.44739846938137
8800,-90,274.46079768092744
8900,-90,274.474171829704
9000,-90,274.4875209589309
9100,-90,274.5008451117674
9200,-90,274.5141443313122
9300,-90,274.52741866060336
9400,-90,274.54066814261824
9500,-90,274.5538928202739
9600,-90,274.56709273642656
9700,-90,274.5802679338723
9800,-90,274.59341845534647
9900,-90,274.60654434352415
10000,-90,274.6196456410201
100,-86,273.19353906621933
200,-86,273.21186768449394
300,-86,273.2278060279411
400,-86,273.24349399051164
500,-86,273.25913227725147
600,-86,273.27473975273784
700,-86,273.2903182297901
800,-86,273.3058679221542
900,-86,273.3213888935656
1000,-86,273.33688119363546
1100,-86,273.3523448705941
1200,-86,273.3677799724855
1300,-86,273.38318654727993
1400,-86,273.3985646428841
1500,-86,273.4139143071419
1600,-86,273.42923558783536
1700,-86,273.4445285326838
1800,-86,273.45979318934434
1900,-86,273.47502960541175
2000,-86,273.4902378284184
2100,-86,273.50541790583435
2200,-86,273.52056988506746
2300,-86,273.5356938134633
2400,-86,273.5507897383051
2500,-86,273.56585770681403
2600,-86,273.58089776614867
2700,-86,273.59590996340575
2800,-86,273.61089434561956
2900,-86,273.62585095976243
3000,-86,273.6407798527442
3100,-86,273.6556810714128
3200,-86,273.67055466255397
3300,-86,273.6854006728913
3400,-86,273.7002191490864
3500,-86,273.7150101377385
3600,-86,273.72977368538506
3700,-86,273.74450983850136
3800,-86,273.75921864350073
3900,-86,273.77390014673443
4000,-86,273.78855439449177
4100,-86,273.8031814329999
4200,-86,273.81778130842434
4300,-86,273.8323540668685
4400,-86,273.8468997543738
4500,-86,273.8614184169199
4600,-86,273.87591010042456
4700,-86,273.89037485074374
4800,-86,273.9048127136714
4900,-86,273.9192237349399
5000,-86,273.9336079602198
5100,-86,273.94796543511956
5200,-86,273.9622962051864
5300,-86,273.9766003159054
5400,-86,273.9908778127004
5500,-86,274.00512874093306
5600,-86,274.0193531459037
5700,-86,274.033551072851
5800,-86,274.047722566952
5900,-86,274.06186767332207
6000,-86,274.07598643701516
6100,-86,274.09007890302365
6200,-86,274.1041451162785
6300,-86,274.11818512164893
6400,-86,274.13219896394304
6500,-86,274.1461866879073
6600,-86,274.16014833822686
6700,-86,274.1740839595255
6800,-86,274.1879935963655
6900,-86,274.2018772932482
7000,-86,274.2157350946131
7100,-86,274.22956704483903
7200,-86,274.24337318824297
7300,-86,274.2571535690812
7400,-86,274.2709082315486
7500,-86,274.28463721977886
7600,-86,274.2983405778446
7700,-86,274.31201834975747
7800,-86,274.3256705794678
7900,-86,274.339297310865
8000,-86,274.3528985877776
8100,-86,274.36647445397284
8200,-86,274.3800249531574
8300,-86,274.3935501289765
8400,-86,274.40705002501517
8500,-86,274.42052468479704
8600,-86,274.433974151785
8700,-86,274.44739846938137
8800,-86,274.46079768092744
8900,-86,274.474171829704
9000,-86,274.4875209589309
9100,-86,274.5008451117674
9200,-86,274.5141443313122
9300,-86,274.52741866060336
9400,-86,274.54066814261824
9500,-86,274.5538928202739
9600,-86,274.56709273642656
9700,-86,274.5802679338723
9800,-86,274.59341845534647
9900,-86,274.60654434352415
10000,-86,274.6196456410201
100,-82,273.19353906621933
200,-82,273.21186768449394
300,-82,273.2278060279411
400,-82,273.24349399051164
500,-82,273.25913227725147
600,-82,273.27473975273784
700,-82,273.2903182297901
800,-82,273.3058679221542
900,-82,273.3213888935656
1000,-82,273.33688119363546
1100,-82,273.3523448705941
1200,-82,273.3677799724855
1300,-82,273.38318654727993
1400,-82,273.3985646428841
1500,-82,273.4139143071419
1600,-82,273.42923558783536
1700,-82,273.4445285326838
1800,-82,273.45979318934434
1900,-82,273.47502960541175
2000,-82,273.4902378284184
2100,-82,273.50541790583435
2200,-82,273.52056988506746
2300,-82,273.5356938134633
2400,-82,273.5507897383051
2500,-82,273.56585770681403
2600,-82,273.58089776614867
2700,-82,273.59590996340575
2800,-82,273.61089434561956
2900,-82,273.62585095976243
3000,-82,273.6407798527442
3100,-82,273.6556810714128
3200,-82,273.67055466255397
3300,-82,273.6854006728913
3400,-82,273.7002191490864
3500,-82,273.7150101377385
3600,-82,273.72977368538506
3700,-82,273.74450983850136
3800,-82,273.75921864350073
3900,-82,273.77390014673443
4000,-82,273.78855439449177
4100,-82,273.8031814329999
4200,-82,273.81778130842434
4300,-82,273.8323540668685
4400,-82,273.8468997543738
4500,-82,273.8614184169199
4600,-82,273.87591010042456
4700,-82,273.89037485074374
4800,-82,273.9048127136714
4900,-82,273.9192237349399
5000,-82,273.9336079602198
5100,-82,273.94796543511956
5200,-82,273.9622962051864
5300,-82,273.9766003159054
5400,-82,273.9908778127004
5500,-82,274.00512874093306
5600,-82,274.0193531459037
5700,-82,274.033551072851
5800,-82,274.047722566952
5900,-82,274.06186767332207
6000,-82,274.07598643701516
6100,-82,274.09007890302365
6200,-82,274.1041451162785
6300,-82,274.11818512164893
6400,-82,274.13219896394304
6500,-82,274.1461866879073
6600,-82,274.16014833822686
6700,-82,274.1740839595255
6800,-82,274.1879935963655
6900,-82,274.2018772932482
7000,-82,274.2157350946131
7100,-82,274.22956704483903
7200,-82,274.24337318824297
7300,-82,274.2571535690812
7400,-82,274.2709082315486
7500,-82,274.28463721977886
7600,-82,274.2983405778446
7700,-82,274.31201834975747
7800,-82,274.3256705794678
7900,-82,274.339297310865
8000,-82,274.3528985877776
8100,-82,274.36647445397284
8200,-82,274.3800249531574
8300,-82,274.3935501289765
8400,-82,274.40705002501517
8500,-82,274.42052468479704
8600,-82,274.433974151785
8700,-82,274.44739846938137
8800,-82,274.46079768092744
8900,-82,274.474171829704
9000,-82,274.4875209589309
9100,-82,274.5008451117674
9200,-82,274.5141443313122
9300,-82,274.52741866060336
9400,-82,274.54066814261824
9500,-82,274.5538928202739
9600,-82,274.56709273642656
9700,-82,274.5802679338723
